Id,Label
P25391,Protein
B2RXH8,Protein
O95258,Protein
Q96PC2,Protein
Q8N7E2,Protein
P46379,Protein
P43121,Protein
P20336,Protein
Q9Y5K2,Protein
Q5XKR9,Protein
A2A2V5,Protein
Q14596,Protein
P54098,Protein
O14709,Protein
Q92625,Protein
P51805,Protein
P59544,Protein
A0A075B734,Protein
Q9UN30,Protein
Q13105,Protein
A1E959,Protein
O95158,Protein
Q96HS1,Protein
Q96FX2,Protein
Q7L273,Protein
Q8NB50,Protein
Q9H9J4,Protein
Q0VFZ6,Protein
Q9NTI7,Protein
Q96RC9,Protein
Q86YB7,Protein
P43365,Protein
Q8N556,Protein
Q96CW9,Protein
O14545,Protein
Q9H9R9,Protein
P83881,Protein
Q14774,Protein
Q86UD7,Protein
Q96LX7,Protein
O00308,Protein
Q96GD3,Protein
Q14767,Protein
A6NLP5,Protein
Q96Q40,Protein
Q9NRE1,Protein
Q15493,Protein
Q7Z4M0,Protein
Q8NEE8,Protein
Q8TE60,Protein
Q13148,Protein
P12036,Protein
Q13018,Protein
Q13683,Protein
O15389,Protein
P56597,Protein
Q4QY38,Protein
Q12980,Protein
P31260,Protein
P51795,Protein
B4DJY2,Protein
Q9Y5C1,Protein
P17028,Protein
P21452,Protein
Q00526,Protein
Q8IX90,Protein
Q8TBK6,Protein
Q01546,Protein
P09496,Protein
O15231,Protein
P23490,Protein
Q4G0W2,Protein
O95218,Protein
P78411,Protein
Q8NBA8,Protein
Q96A19,Protein
Q9NP78,Protein
A0A1B0GUS0,Protein
Q9H4K1,Protein
Q8NA96,Protein
P47755,Protein
P0C860,Protein
E5RQL4,Protein
Q7Z340,Protein
Q15349,Protein
O95302,Protein
Q8IWL8,Protein
Q6PIJ6,Protein
Q7L3V2,Protein
O14626,Protein
P62256,Protein
Q8N3C0,Protein
Q9BXR0,Protein
P20160,Protein
Q9BRH9,Protein
Q5VT66,Protein
P01701,Protein
Q9Y4G8,Protein
A0A1B0GUY1,Protein
P61803,Protein
P55211,Protein
Q9NVA2,Protein
Q14185,Protein
O14613,Protein
Q8N9X5,Protein
Q9HBX3,Protein
P16615,Protein
O75558,Protein
P23975,Protein
Q70EK9,Protein
Q5T749,Protein
Q92800,Protein
Q8WWZ4,Protein
P09017,Protein
O75462,Protein
Q9BV57,Protein
P35368,Protein
Q9H4I9,Protein
Q9UPU7,Protein
A0A075B6I7,Protein
Q96P66,Protein
Q8NG94,Protein
Q9UQ35,Protein
P41594,Protein
Q66LE6,Protein
Q9UKX5,Protein
P0DP23,Protein
Q5H9L4,Protein
Q6UWJ1,Protein
Q16875,Protein
Q6P2H8,Protein
Q8WTU2,Protein
Q9P2T0,Protein
O43462,Protein
Q96QA5,Protein
A6NI28,Protein
P05387,Protein
Q9P2K9,Protein
Q8IU60,Protein
Q8IYA6,Protein
Q969W8,Protein
A0A087X1C5,Protein
Q16798,Protein
Q63HQ2,Protein
A4FU01,Protein
Q9H7X7,Protein
Q6L8G5,Protein
O95922,Protein
Q9UBP8,Protein
Q7LGC8,Protein
Q96M32,Protein
P16949,Protein
Q7L2H7,Protein
Q96RI8,Protein
Q9H999,Protein
Q9BUX1,Protein
Q6NUM6,Protein
Q6EMB2,Protein
Q6IBS0,Protein
Q9H0W7,Protein
Q9H816,Protein
